id,cost,power,rules
absorbing-man,4,5,"On Reveal: If the last card you played has an On Reveal, copy its text. (if able)"
acid-arrow,1,-2,On Reveal: Switch sides.
adam-warlock,2,0,"End of Turn: Draw a card if you're winning here. Otherwise, +1 Power."
aero,5,9,On Reveal: The last card your opponent played moves to this location.
agamotto,5,10,Game Start: Shuffle 4 Ancient Arcana into your deck.
agatha-harkness,6,14,Game Start: Draw Agatha. She controls your cards on even turns.
agent-13,1,2,On Reveal: Add a random card to your hand.
agent-coulson,3,4,On Reveal: Add a random 4-Cost and 5-Cost card to your hand.
agent-venom,2,5,On Reveal: Set the Power of all cards in your deck to 3.
agony,1,3,"After you play a card here, merge this with it."
agonywebslingers,0,0,!none
air-walker,3,3,"When this is destroyed, replace it with a 4-Cost card from your hand or deck."
ajax,5,7,Ongoing: +1 Power for each card in play afflicted with negative Power.
alioth,6,9,On Reveal: Remove the text from all unrevealed enemy characters here.
america-chavez,1,2,On Reveal: Give the top card of your deck +3 Power.
angel,2,3,"When one of your cards is destroyed, this flies out of your hand or deck to replace it."
angela,2,3,"After you play a card here, +1 Power."
annihilus,5,8,On Reveal: Your cards with Power below 0 switch sides. Destroy those that can't.
ant-man,1,1,"Ongoing: If your side of this location is full, +4 Power."
anti-venom,4,7,On Reveal: Set the Cost and Power of your deck's top card to 0.
antivenomwebslingers,0,0,!none
apocalypse,6,8,"When you discard this, put it back with +4 Power."
ara-a,1,2,"Activate: After you play your next card, give it +1 Power and move it to the right."
ares,4,6,"On Reveal: Compare the Power of the top 3 cards of both decks. If your total is higher, +6 Power."
arishem,7,7,"Game Start: Shuffle 12 new cards into your deck. On turn 3, get +1 Max Energy."
armor,2,3,Ongoing: Cards here can't be destroyed.
arnim-zola,6,0,On Reveal: Destroy one of your other cards here to copy it at the other locations.
astral-projection,3,0,On Reveal: Copy the text of an On Reveal card in your hand.
attuma,4,10,End of Turn: Destroy one of your cards here with less Power.
awesome-andy,2,1,Activate: Give one of your cards at each other location +2 Power.
baron-mordo,2,3,On Reveal: The top card of your opponent's deck costs 6 until turn 6.
baron-zemo,3,5,On Reveal: Recruit a card that costs the least from your opponent's deck to your side of this location.
basic-arrow,1,1,"On Reveal: If you play a card at this location next turn, +3 Power."
bast,1,1,On Reveal: Set the Power of all cards in your hand to 3.
bastion,4,3,On Reveal: Add copies of your other cards here to your hand. Set their Costs to 2 and Power to 3.
beast,3,5,On Reveal: Return your other cards here to your hand. They cost 1 less next turn.
beta-ray-bill,4,6,On Reveal: Shuffle Stormbreaker into your deck.
bishop,3,2,"After you play a card, this gains +1 Power."
black-bolt,5,7,On Reveal: Discard the card that costs the least from your opponent's hand.
black-cat,1,5,End of Turn: Discard this from your hand.
black-panther,5,5,On Reveal: Double this card's Power.
black-swan,2,3,"Activate: Until the end of next turn, your 1-Cost cards cost 0."
black-widow,3,3,Activate: Add a Widow's Bite to your opponent's hand.
blade,1,3,On Reveal: Discard the rightmost card from your hand.
blink,5,8,On Reveal: Swap the last card you played with a card that costs more from your deck.
blob,6,0,On Reveal: Merge cards from your deck into this until it gains 13 or more Power.
blue-marvel,5,3,Ongoing: Your other cards have +1 Power.
bolts-of-balthakk,3,0,"On Reveal: Next turn, you get +4 Energy."
brood,3,2,On Reveal: Add 2 Broodlings here with the same Power.
bruce-banner,2,1,"End of Turn: If you have unspent Energy, 33% chance to HULK OUT!"
bucky-barnes,2,1,"When this is destroyed, replace it with the Winter Soldier."
bullseye,3,2,Activate: Discard all cards that cost 1 or less from your hand. Afflict that many different enemy cards with -2 Power.
cable,2,3,On Reveal: Draw a card from your opponent's deck.
caiera,3,4,Ongoing: Your 1 and 6-Cost cards can't be destroyed.
cannonball,5,6,"On Reveal: Move the highest-Power enemy card here away. If you can't, destroy it with a Rock."
cap-s-shield,0,0,Ongoing: This can't be destroyed. Give your Cap +2 Power when this moves to Cap's location.
captain-america,3,3,Ongoing: Your other Ongoing cards here have +2 Power.
captain-carter,3,2,Ongoing: Add this card's Power to your back-row cards here. (can't add to itself)
captain-marvel,4,5,"At the end of the game, move to a location that wins you the game. (If possible)"
captainamericaavengers,0,0,!none
carnage,2,2,On Reveal: Destroy your other cards here. +2 Power for each destroyed.
